tanggal,pm10,so2,co,o3,no2
2016-01-01,57.0,17.0,53.0,51.0,11.0
2016-01-02,45.0,16.0,29.0,50.0,5.0
2016-01-03,45.0,16.0,33.0,50.0,5.0
2016-01-04,57.0,18.0,36.0,71.0,9.0
2016-01-05,57.0,16.0,54.0,46.0,11.0
2016-01-06,57.0,17.0,43.0,39.0,13.0
2016-01-07,57.0,17.0,31.0,52.0,11.0
2016-01-08,57.0,18.0,30.0,60.0,7.0
2016-01-09,57.0,17.0,34.0,64.0,8.0
2016-01-10,57.0,17.0,38.0,74.0,7.0
2016-01-11,57.0,17.0,36.0,65.0,5.0
2016-01-12,57.0,30.0,11.0,64.0,6.0
2016-01-12,19.0,16.0,38.0,17.0,7.0
2016-01-13,45.0,16.0,43.0,84.0,8.0
2016-01-14,57.0,17.0,33.0,48.0,7.0
2016-01-15,58.0,16.0,39.0,46.0,8.0
2016-01-16,49.0,17.0,34.0,80.0,4.0
2016-01-17,68.0,17.0,39.0,103.0,8.0
2016-01-18,62.0,16.0,43.0,73.0,5.0
2016-01-19,59.0,17.0,31.0,83.0,4.0
2016-01-20,57.0,16.0,39.0,50.0,8.0
2016-01-21,54.0,16.0,35.0,73.0,8.0
2016-01-22,24.0,11.0,59.0,52.0,9.0
2016-01-23,52.0,10.0,37.0,46.0,10.0
2016-01-24,36.0,11.0,40.0,44.0,4.0
2016-01-25,29.0,8.0,28.0,46.0,7.0
2016-01-26,45.0,1.0,41.0,54.0,7.0
2016-01-27,70.0,4.0,58.0,81.0,8.0
2016-01-28,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-01-29,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-01-30,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-01-31,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-02-01,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-02-02,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-02-03,43.10104810534803,16.119280613594288,20.048516129032254,68.77168831168831,9.011859838274932
2016-02-04,58.0,13.0,25.0,49.0,11.0
2016-02-05,54.0,15.0,19.0,52.0,2.0
2016-02-06,61.0,13.0,20.0,41.0,3.0
2016-02-07,46.0,13.0,28.0,41.0,5.0
2016-02-08,49.0,13.0,26.0,43.0,3.0
2016-02-09,13.0,13.0,8.0,25.0,9.0
2016-02-10,19.0,13.0,14.0,31.0,3.0
2016-02-11,29.0,13.0,36.0,32.0,7.0
2016-02-12,41.0,13.0,27.0,47.0,4.0
2016-02-12,38.0,28.0,8.0,35.0,4.0
2016-02-13,41.0,14.0,56.0,79.0,8.0
2016-02-14,54.0,14.0,23.0,75.0,4.0
2016-02-15,40.0,14.0,22.0,32.0,3.0
2016-02-16,62.0,14.0,30.0,37.0,3.0
2016-02-17,45.0,14.0,22.0,36.0,3.0
2016-02-18,54.0,14.0,41.0,60.0,3.0
2016-02-19,40.0,14.0,34.0,67.0,3.0
2016-02-20,78.0,14.0,31.0,52.0,3.0
2016-02-21,61.0,15.0,15.0,49.0,2.0
2016-02-22,62.0,15.0,30.0,46.0,3.0
2016-02-23,61.0,14.0,23.0,50.0,3.0
2016-02-24,43.0,15.0,20.0,38.0,3.0
2016-02-25,26.0,14.0,16.0,42.0,3.0
2016-02-26,19.0,15.0,8.0,54.0,3.0
2016-02-27,49.0,15.0,21.0,46.0,12.0
2016-02-28,7.0,15.0,13.0,46.0,3.0
2016-02-29,52.0,15.0,25.0,42.0,3.0
2016-03-01,18.0,14.0,11.0,43.0,2.0
2016-03-02,52.0,15.0,26.0,40.0,3.0
2016-03-03,48.0,15.0,29.0,39.0,3.0
2016-03-04,68.0,15.0,40.0,41.0,3.0
2016-03-05,51.0,15.0,11.0,56.0,2.0
2016-03-06,67.0,15.0,33.0,72.0,2.0
2016-03-07,52.0,15.0,16.0,102.0,4.0
2016-03-08,52.0,15.0,15.0,81.0,5.0
2016-03-09,58.0,15.0,24.0,99.0,4.0
2016-03-10,54.0,15.0,22.0,133.0,3.0
2016-03-11,57.0,15.0,20.0,76.0,6.0
2016-03-12,55.0,15.0,27.0,51.0,1.0
2016-03-12,22.0,28.0,8.0,31.0,4.0
2016-03-13,56.0,15.0,16.0,78.0,1.0
2016-03-14,58.0,16.0,22.0,71.0,1.0
