tanggal,pm10,so2,co,o3,no2
2014-01-01,63.0,8.0,58.0,64.0,9.0
2014-01-02,37.0,7.0,29.0,74.0,7.0
2014-01-03,55.0,8.0,34.0,97.0,8.0
2014-01-04,47.0,6.0,35.0,57.0,11.2
2014-01-05,29.0,5.0,13.0,46.0,5.8
2014-01-06,20.0,5.0,7.0,35.0,5.6
2014-01-07,27.0,7.0,11.0,52.0,7.0
2014-01-08,51.0,6.0,20.0,65.0,6.0
2014-01-09,39.0,6.0,54.0,43.0,6.0
2014-01-10,33.0,7.0,9.0,82.0,9.2
2014-01-11,56.0,6.0,23.0,96.0,6.0
2014-01-12,34.0,5.0,29.0,69.0,9.0
2014-01-13,20.0,6.0,18.0,70.0,8.0
2014-01-14,34.0,9.0,19.0,72.0,6.0
2014-01-15,27.0,7.0,22.0,51.0,7.0
2014-01-16,20.0,6.0,34.0,49.0,7.0
2014-01-17,30.0,5.0,20.0,61.0,9.0
2014-01-18,21.0,5.0,16.0,54.0,8.0
2014-01-19,27.0,5.0,24.0,60.0,15.0
2014-01-20,29.0,5.0,23.0,50.0,6.0
2014-01-21,19.0,5.0,12.0,54.0,6.0
2014-01-22,25.0,8.0,17.0,52.0,9.0
2014-01-23,23.0,5.0,13.0,47.0,7.0
2014-01-24,32.0,6.0,29.0,50.0,10.0
2014-01-25,26.0,6.0,14.0,56.0,7.0
2014-01-26,42.0,7.0,40.0,54.0,9.0
2014-01-27,45.0,7.0,28.0,56.0,6.0
2014-01-28,19.0,5.0,19.0,53.0,9.0
2014-01-29,19.0,5.0,20.0,51.0,9.0
2014-01-30,26.0,6.0,33.0,53.0,8.0
2014-01-31,31.0,6.0,22.0,46.0,8.0
2014-02-01,33.0,6.0,30.0,43.0,5.0
2014-02-02,48.4,6.0,21.0,34.0,6.0
2014-02-03,47.0,6.0,26.0,31.0,8.0
2014-02-04,64.2,5.0,26.0,83.0,11.0
2014-02-05,53.0,6.0,44.0,85.0,11.0
2014-02-06,51.0,5.0,40.0,83.0,9.0
2014-02-07,46.0,6.0,37.0,66.0,8.0
2014-02-08,38.0,6.0,12.0,56.0,9.0
2014-02-09,46.0,5.0,38.0,68.0,8.0
2014-02-10,39.0,6.0,24.0,80.0,17.0
2014-02-11,55.0,6.0,27.0,75.0,16.0
2014-02-12,63.0,6.0,30.0,77.0,12.0
2014-02-13,61.0,6.0,23.0,69.0,9.0
2014-02-14,60.0,8.0,24.0,63.0,6.0
2014-02-15,65.0,8.0,36.0,47.0,10.0
2014-02-16,67.0,12.0,41.0,52.0,12.0
2014-02-17,75.0,8.0,29.0,94.0,14.0
2014-02-18,66.0,6.0,20.0,57.0,11.0
2014-02-19,59.0,9.0,27.0,65.0,9.0
2014-02-20,67.0,10.0,22.0,80.0,9.0
2014-02-21,42.0,8.0,10.0,60.0,7.0
2014-02-22,38.0,7.0,18.0,52.0,6.0
2014-02-23,27.0,6.0,42.0,54.0,10.0
2014-02-24,51.0,7.0,17.0,82.2,10.0
2014-02-25,51.0,7.0,21.0,88.6,8.0
2014-02-26,41.0,7.0,13.0,67.0,8.0
2014-02-27,53.0,6.0,23.0,70.4,9.0
2014-02-28,88.0,7.0,43.0,69.6,13.0
2014-03-01,65.0,8.0,15.0,73.8,9.0
2014-03-02,52.0,7.0,11.0,92.0,10.0
2014-03-03,56.0,10.0,10.0,93.0,13.0
2014-03-04,59.0,11.0,12.0,120.0,15.0
2014-03-05,63.0,8.0,9.0,98.0,15.0
2014-03-06,70.0,10.0,18.0,100.0,21.0
2014-03-07,58.0,7.0,6.0,85.0,17.0
2014-03-08,61.0,10.0,15.0,85.0,11.0
2014-03-09,73.0,6.0,29.0,70.0,10.0
2014-03-10,72.0,6.0,11.0,73.0,13.0
2014-03-11,95.0,7.0,14.0,59.0,17.0
2014-03-12,62.0,6.0,9.0,62.0,9.0
2014-03-13,89.0,8.0,11.0,96.0,24.0
2014-03-14,63.0,9.0,8.0,85.0,16.0
2014-03-15,81.0,8.0,20.0,108.0,12.0
2014-03-16,97.0,8.0,16.0,76.0,13.0
2014-03-17,77.0,7.0,20.0,146.0,17.0
2014-03-18,68.0,8.0,14.0,126.0,19.0
2014-03-19,57.0,10.0,16.0,88.0,11.0
2014-03-20,59.0,15.8,21.0,142.0,12.0
2014-03-21,56.0,13.2,23.0,78.0,14.0
2014-03-22,55.0,7.0,23.0,62.0,12.0
2014-03-23,49.0,7.0,13.0,71.0,8.0
2014-03-24,74.0,7.0,37.0,68.0,15.0
2014-03-25,62.0,11.0,21.0,59.0,13.0
2014-03-26,55.0,9.0,14.0,66.0,10.0
2014-03-27,91.0,9.0,48.0,114.0,18.0
2014-03-28,58.0,7.0,25.0,111.0,15.0
2014-03-29,52.0,9.0,24.0,104.0,13.0
2014-03-30,52.0,9.0,17.0,58.0,14.0
2014-03-31,62.0,7.0,30.0,55.0,8.0
2014-04-01,74.0,9.0,27.0,71.0,15.0
2014-04-02,68.0,7.0,16.0,87.0,11.0
2014-04-03,61.0,8.0,37.0,71.0,15.0
2014-04-04,69.0,8.0,22.2,64.8,11.2
2014-04-05,61.0,8.0,18.0,82.0,16.0
2014-04-06,36.0,8.0,8.0,52.0,12.0
2014-04-07,28.0,8.0,9.0,41.0,8.0
2014-04-08,41.0,7.0,15.0,46.0,8.0
2014-04-09,31.0,7.0,9.0,32.0,4.0
2014-04-10,43.0,7.0,12.0,30.0,5.0
2014-04-11,63.0,8.0,30.0,42.0,9.0
2014-04-12,70.0,7.0,19.0,49.0,9.0
2014-04-13,52.0,7.0,8.0,30.0,6.0
2014-04-14,56.0,7.0,14.0,41.0,7.0
2014-04-15,48.0,7.0,14.0,39.0,11.0
